Name,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Team
AB DE VILLIERS,2013,18,497,294,13,38.2,169,77,3,0,45,23,25.9,Royal Challengers Bangalore
AB DE VILLIERS,2014,13,395,249,11,35.9,158.6,89,3,0,26,24,29.7,Royal Challengers Bangalore
AB DE VILLIERS,2015,14,513,293,11,46.6,175.1,133,2,1,60,22,31.4,Royal Challengers Bangalore
AB DE VILLIERS,2016,21,921,562,17,54.2,163.9,129,8,1,80,45,26.3,Royal Challengers Bangalore
AB DE VILLIERS,2017,9,216,163,8,27,132.5,89,1,0,12,16,41.7,Royal Challengers Bangalore
AB DE VILLIERS,2018,21,762,449,18,42.3,169.7,93,8,0,64,44,28.1,Royal Challengers Bangalore
AB DE VILLIERS,2019,43,1578,1006,30,52.6,156.9,100,14,1,115,79,27.6,Royal Challengers Bangalore
AB DE VILLIERS,2020,20,600,390,16,37.5,153.8,73,6,0,41,29,26.2,Royal Challengers Bangalore
D PADIKKAL,2020,15,473,379,15,31.5,124.8,74,5,0,51,8,34.3,Royal Challengers Bangalore
D PADIKKAL,2021,1,11,10,1,11,110,11,0,0,2,0,50,Royal Challengers Bangalore
JOSH PHILIPPE,2017,1,7,10,1,7,70,7,0,0,0,0,50,Royal Challengers Bangalore
JOSH PHILIPPE,2018,4,42,28,3,14,150,20,0,0,3,1,25,Royal Challengers Bangalore
JOSH PHILIPPE,2019,16,402,278,11,36.5,144.6,86,3,0,47,10,33.5,Royal Challengers Bangalore
JOSH PHILIPPE,2020,21,597,459,18,33.2,130.1,95,5,0,55,17,34.2,Royal Challengers Bangalore
JOSH PHILIPPE,2021,11,336,219,11,30.5,153.4,84,2,0,35,10,29.2,Royal Challengers Bangalore
GLENN MAXWELL,2010,1,2,4,1,2,50,2,0,0,0,0,50,Royal Challengers Bangalore
GLENN MAXWELL,2011,3,87,61,3,29,142.6,46,0,0,6,4,27.9,Royal Challengers Bangalore
GLENN MAXWELL,2012,10,216,147,9,24,146.9,82,1,0,20,8,36.1,Royal Challengers Bangalore
GLENN MAXWELL,2013,18,305,215,17,17.9,141.9,37,0,0,23,16,38.1,Royal Challengers Bangalore
GLENN MAXWELL,2014,38,882,525,36,24.5,168,95,5,0,74,54,34.5,Royal Challengers Bangalore
GLENN MAXWELL,2015,29,547,382,28,19.5,143.2,92,3,0,49,23,36.1,Royal Challengers Bangalore
GLENN MAXWELL,2016,13,315,203,10,31.5,155.2,68,4,0,25,13,28.1,Royal Challengers Bangalore
GLENN MAXWELL,2017,18,381,232,15,25.4,164.2,47,0,0,29,27,36.6,Royal Challengers Bangalore
GLENN MAXWELL,2018,22,511,349,21,24.3,146.4,84,3,0,39,25,34.1,Royal Challengers Bangalore
GLENN MAXWELL,2019,21,709,456,18,39.4,155.5,83,6,0,51,33,25.4,Royal Challengers Bangalore
GLENN MAXWELL,2020,27,557,429,17,32.8,129.8,83,3,0,42,20,33.6,Royal Challengers Bangalore
GLENN MAXWELL,2021,9,200,142,9,22.2,140.8,70,2,0,19,8,36.6,Royal Challengers Bangalore
SACHIN BABY,2013,1,3,7,1,3,42.9,3,0,0,0,0,71.4,Royal Challengers Bangalore
SACHIN BABY,2016,6,119,79,4,29.8,150.6,33,0,0,9,5,29.1,Royal Challengers Bangalore
SACHIN BABY,2017,3,15,15,3,5,100,12,0,0,2,0,46.7,Royal Challengers Bangalore
SACHIN BABY,2021,4,110,73,2,55,150.7,68,1,0,6,7,28.8,Royal Challengers Bangalore
HARSHAL PATEL,2012,3,15,15,2,7.5,100,10,0,0,1,0,20,Royal Challengers Bangalore
HARSHAL PATEL,2014,3,13,7,2,6.5,185.7,6,0,0,1,1,42.9,Royal Challengers Bangalore
HARSHAL PATEL,2015,6,19,12,5,3.8,158.3,9,0,0,0,2,41.7,Royal Challengers Bangalore
HARSHAL PATEL,2018,2,60,33,1,60,181.8,36,0,0,1,6,18.2,Royal Challengers Bangalore
HARSHAL PATEL,2019,1,0,2,1,0,0,0,0,0,0,0,100,Royal Challengers Bangalore
HARSHAL PATEL,2020,2,21,24,2,10.5,87.5,16,0,0,2,0,50,Royal Challengers Bangalore
WASHINGTON SUNDAR,2017,5,9,12,1,9,75,5,0,0,0,0,50,Royal Challengers Bangalore
WASHINGTON SUNDAR,2018,5,65,38,3,21.7,171.1,35,0,0,5,4,36.8,Royal Challengers Bangalore
WASHINGTON SUNDAR,2019,2,1,3,2,0.5,33.3,1,0,0,0,0,66.7,Royal Challengers Bangalore
WASHINGTON SUNDAR,2020,9,111,95,6,18.5,116.8,30,0,0,10,2,31.6,Royal Challengers Bangalore
DANIEL SAMS,2017,1,0,1,1,0,0,0,0,0,0,0,100,Royal Challengers Bangalore
DANIEL SAMS,2018,5,89,50,5,17.8,178,34,0,0,7,5,24,Royal Challengers Bangalore
DANIEL SAMS,2019,14,109,93,13,8.4,117.2,42,0,0,4,7,44.1,Royal Challengers Bangalore
DANIEL SAMS,2020,16,151,107,13,11.6,141.1,65,1,0,7,12,42.1,Royal Challengers Bangalore
DANIEL SAMS,2021,4,104,63,2,52,165.1,50,1,0,7,4,25.4,Royal Challengers Bangalore
SHAHBAZ AHMED,2020,1,1,1,0,NA,100,1,0,0,0,0,0,Royal Challengers Bangalore
SHAHBAZ AHMED,2021,3,21,27,3,7,77.8,13,0,0,2,0,48.1,Royal Challengers Bangalore
DANIEL CHRISTIAN,2010,4,70,50,3,23.3,140,23,0,0,3,4,26,Royal Challengers Bangalore
DANIEL CHRISTIAN,2011,19,344,264,15,22.9,130.3,42,0,0,22,13,31.1,Royal Challengers Bangalore
DANIEL CHRISTIAN,2012,16,361,285,12,30.1,126.7,75,1,0,27,13,34,Royal Challengers Bangalore
DANIEL CHRISTIAN,2013,22,338,301,19,17.8,112.3,70,1,0,25,8,35.9,Royal Challengers Bangalore
DANIEL CHRISTIAN,2014,17,373,278,16,23.3,134.2,129,1,1,24,22,38.5,Royal Challengers Bangalore
DANIEL CHRISTIAN,2015,14,197,130,10,19.7,151.5,56,1,0,12,11,33.1,Royal Challengers Bangalore
DANIEL CHRISTIAN,2016,19,482,330,15,32.1,146.1,58,4,0,26,30,30.6,Royal Challengers Bangalore
DANIEL CHRISTIAN,2017,31,513,362,23,22.3,141.7,73,1,0,33,27,31.8,Royal Challengers Bangalore
DANIEL CHRISTIAN,2018,38,885,537,26,34,164.8,113,3,1,55,56,29.4,Royal Challengers Bangalore
DANIEL CHRISTIAN,2019,38,563,443,26,21.7,127.1,41,0,0,36,21,29.3,Royal Challengers Bangalore
DANIEL CHRISTIAN,2020,25,353,233,16,22.1,151.5,50,1,0,26,22,37.3,Royal Challengers Bangalore
DANIEL CHRISTIAN,2021,11,218,127,5,43.6,171.7,61,1,0,21,10,28.3,Royal Challengers Bangalore
KYLE JAMIESON,2018,2,44,24,1,44,183.3,33,0,0,4,1,8.3,Royal Challengers Bangalore
KYLE JAMIESON,2019,4,64,53,2,32,120.8,24,0,0,3,2,34,Royal Challengers Bangalore
KYLE JAMIESON,2020,1,10,6,0,NA,166.7,10,0,0,1,0,0,Royal Challengers Bangalore
KYLE JAMIESON,2021,3,56,38,2,28,147.4,21,0,0,2,2,21.1,Royal Challengers Bangalore
SHREYAS IYER,2015,14,439,342,13,33.8,128.4,83,4,0,41,21,43.3,Delhi Capitals
SHREYAS IYER,2016,6,30,43,6,5,69.8,19,0,0,2,1,58.1,Delhi Capitals
SHREYAS IYER,2017,12,338,243,10,33.8,139.1,96,2,0,36,10,33.3,Delhi Capitals
SHREYAS IYER,2018,13,411,310,11,37.4,132.6,93,4,0,29,21,34.8,Delhi Capitals
SHREYAS IYER,2019,16,463,386,15,30.9,119.9,67,3,0,41,14,35,Delhi Capitals
SHREYAS IYER,2020,17,519,421,15,34.6,123.3,88,3,0,40,16,32.5,Delhi Capitals
SHIKHAR DHAWAN,2008,14,340,295,9,37.8,115.3,68,4,0,35,8,41,Delhi Capitals
SHIKHAR DHAWAN,2009,4,40,45,4,10,88.9,22,0,0,3,0,40,Delhi Capitals
SHIKHAR DHAWAN,2010,14,305,281,14,21.8,108.5,56,2,0,30,8,43.8,Delhi Capitals
SHIKHAR DHAWAN,2011,14,400,310,12,33.3,129,95,2,0,47,7,33.9,Delhi Capitals
SHIKHAR DHAWAN,2012,15,569,439,14,40.6,129.6,84,5,0,58,18,37.1,Delhi Capitals
SHIKHAR DHAWAN,2013,16,561,439,14,40.1,127.8,73,5,0,71,10,39.2,Delhi Capitals
SHIKHAR DHAWAN,2014,14,377,319,13,29,118.2,64,2,0,49,7,44.2,Delhi Capitals
SHIKHAR DHAWAN,2015,14,353,286,13,27.2,123.4,54,3,0,45,6,39.9,Delhi Capitals
SHIKHAR DHAWAN,2016,17,501,429,13,38.5,116.8,82,4,0,51,8,38.9,Delhi Capitals
SHIKHAR DHAWAN,2017,14,479,376,13,36.8,127.4,77,3,0,53,9,33.5,Delhi Capitals
SHIKHAR DHAWAN,2018,16,497,363,13,38.2,136.9,92,4,0,59,14,34.7,Delhi Capitals
SHIKHAR DHAWAN,2019,16,521,384,15,34.7,135.7,97,5,0,64,11,34.9,Delhi Capitals
SHIKHAR DHAWAN,2020,17,618,427,14,44.1,144.7,106,4,2,67,13,26.7,Delhi Capitals
SHIKHAR DHAWAN,2021,4,93,72,4,23.2,129.2,65,1,0,10,3,37.5,Delhi Capitals
PRITHVI SHAW,2018,9,245,160,9,27.2,153.1,65,2,0,27,10,36.2,Delhi Capitals
PRITHVI SHAW,2019,16,353,264,16,22.1,133.7,99,2,0,45,9,39.4,Delhi Capitals
PRITHVI SHAW,2020,13,228,167,13,17.5,136.5,66,2,0,27,8,41.9,Delhi Capitals
AJINKYA RAHANE,2008,2,4,17,2,2,23.5,4,0,0,1,0,94.1,Delhi Capitals
AJINKYA RAHANE,2009,7,144,123,6,24,117.1,62,2,0,12,3,34.1,Delhi Capitals
AJINKYA RAHANE,2011,7,120,98,6,20,122.4,52,1,0,12,2,33.7,Delhi Capitals
AJINKYA RAHANE,2012,16,560,433,14,40,129.3,103,3,1,73,10,37,Delhi Capitals
AJINKYA RAHANE,2013,24,776,700,19,40.8,110.9,70,8,0,69,18,38.9,Delhi Capitals
AJINKYA RAHANE,2014,12,339,291,12,28.2,116.5,72,3,0,38,3,39.2,Delhi Capitals
AJINKYA RAHANE,2015,13,540,413,11,49.1,130.8,91,4,0,53,13,33.9,Delhi Capitals
AJINKYA RAHANE,2016,14,480,379,11,43.6,126.6,74,6,0,54,9,34.8,Delhi Capitals
AJINKYA RAHANE,2017,16,382,323,15,25.5,118.3,60,2,0,35,9,35.3,Delhi Capitals
AJINKYA RAHANE,2018,14,370,313,13,28.5,118.2,65,1,0,39,5,33.2,Delhi Capitals
AJINKYA RAHANE,2019,13,393,285,12,32.8,137.9,105,1,1,45,9,35.4,Delhi Capitals
AJINKYA RAHANE,2020,8,113,107,8,14.1,105.6,60,1,0,12,2,43.9,Delhi Capitals
SHIMRON HETMYER,2016,1,0,3,1,0,0,0,0,0,0,0,100,Delhi Capitals
SHIMRON HETMYER,2018,12,440,297,11,40,148.1,100,2,1,39,24,37.7,Delhi Capitals
SHIMRON HETMYER,2019,17,314,254,16,19.6,123.6,75,2,0,25,15,41.7,Delhi Capitals
SHIMRON HETMYER,2020,22,451,337,16,28.2,133.8,71,3,0,32,21,36.2,Delhi Capitals
STEVEN SMITH,2009,5,53,45,3,17.7,117.8,33,0,0,3,1,31.1,Delhi Capitals
STEVEN SMITH,2011,7,149,153,5,29.8,97.4,45,0,0,13,1,36.6,Delhi Capitals
STEVEN SMITH,2012,30,737,577,21,35.1,127.7,58,2,0,53,21,28.8,Delhi Capitals
STEVEN SMITH,2013,9,190,163,6,31.7,116.6,41,0,0,18,4,37.4,Delhi Capitals
STEVEN SMITH,2014,10,289,212,7,41.3,136.3,65,2,0,22,8,26.4,Delhi Capitals
STEVEN SMITH,2015,12,293,221,11,26.6,132.6,79,2,0,33,3,29,Delhi Capitals
STEVEN SMITH,2016,7,270,176,6,45,153.4,101,0,1,27,8,29,Delhi Capitals
STEVEN SMITH,2017,15,472,387,12,39.3,122,84,3,0,38,12,31,Delhi Capitals
STEVEN SMITH,2018,13,352,285,12,29.3,123.5,63,3,0,41,7,36.5,Delhi Capitals
STEVEN SMITH,2019,12,335,297,10,33.5,112.8,73,3,0,31,4,34.7,Delhi Capitals
STEVEN SMITH,2020,18,431,316,15,28.7,136.4,69,4,0,44,12,32,Delhi Capitals
MARCUS STOINIS,2012,1,9,8,1,9,112.5,9,0,0,1,0,62.5,Delhi Capitals
MARCUS STOINIS,2013,2,16,11,2,8,145.5,15,0,0,0,2,54.5,Delhi Capitals
MARCUS STOINIS,2014,4,54,45,3,18,120,25,0,0,3,2,31.1,Delhi Capitals
MARCUS STOINIS,2015,3,77,64,3,25.7,120.3,50,1,0,10,0,42.2,Delhi Capitals
MARCUS STOINIS,2016,12,238,215,11,21.6,110.7,52,1,0,21,4,42.3,Delhi Capitals
MARCUS STOINIS,2017,11,205,153,8,25.6,134,99,1,0,13,9,35.9,Delhi Capitals
MARCUS STOINIS,2018,17,280,227,12,23.3,123.3,47,0,0,17,10,31.3,Delhi Capitals
MARCUS STOINIS,2019,24,865,661,15,57.7,130.9,81,5,0,75,25,33.1,Delhi Capitals
MARCUS STOINIS,2020,34,994,687,28,35.5,144.7,147,9,1,90,41,34.4,Delhi Capitals
MARCUS STOINIS,2021,9,304,221,8,38,137.6,97,1,0,30,14,40.7,Delhi Capitals
AXAR PATEL,2014,9,116,87,7,16.6,133.3,42,0,0,13,3,31,Delhi Capitals
AXAR PATEL,2015,12,206,174,9,22.9,118.4,40,0,0,13,8,31.6,Delhi Capitals
AXAR PATEL,2016,10,111,77,7,15.9,144.2,36,0,0,4,8,33.8,Delhi Capitals
AXAR PATEL,2017,13,227,162,8,28.4,140.1,44,0,0,11,11,27.2,Delhi Capitals
AXAR PATEL,2018,8,80,69,6,13.3,115.9,19,0,0,3,4,29,Delhi Capitals
AXAR PATEL,2019,12,110,88,6,18.3,125,26,0,0,10,3,33,Delhi Capitals
AXAR PATEL,2020,9,113,85,8,14.1,132.9,42,0,0,6,8,34.1,Delhi Capitals
RAVICHANDRAN ASHWIN,2009,1,8,15,1,8,53.3,8,0,0,1,0,66.7,Delhi Capitals
RAVICHANDRAN ASHWIN,2010,8,35,43,4,8.8,81.4,11,0,0,3,0,41.9,Delhi Capitals
RAVICHANDRAN ASHWIN,2011,3,3,10,3,1,30,2,0,0,0,0,70,Delhi Capitals
RAVICHANDRAN ASHWIN,2012,7,49,29,4,12.2,169,18,0,0,6,1,27.6,Delhi Capitals
RAVICHANDRAN ASHWIN,2013,7,90,82,6,15,109.8,46,0,0,7,4,43.9,Delhi Capitals
RAVICHANDRAN ASHWIN,2014,7,51,52,3,17,98.1,14,0,0,4,0,30.8,Delhi Capitals
RAVICHANDRAN ASHWIN,2015,6,52,32,3,17.3,162.5,23,0,0,6,1,21.9,Delhi Capitals
RAVICHANDRAN ASHWIN,2016,6,41,38,2,20.5,107.9,29,0,0,3,1,36.8,Delhi Capitals
RAVICHANDRAN ASHWIN,2018,8,102,71,8,12.8,143.7,45,0,0,7,5,29.6,Delhi Capitals
RAVICHANDRAN ASHWIN,2019,6,42,28,5,8.4,150,17,0,0,3,3,35.7,Delhi Capitals
RAVICHANDRAN ASHWIN,2020,5,37,34,3,12.3,108.8,14,0,0,3,1,44.1,Delhi Capitals
CHRIS WOAKES,2013,9,98,84,5,19.6,116.7,28,0,0,12,1,40.5,Delhi Capitals
CHRIS WOAKES,2014,5,58,41,2,29,141.5,22,0,0,6,0,17.1,Delhi Capitals
CHRIS WOAKES,2015,2,54,31,1,54,174.2,48,0,0,5,2,16.1,Delhi Capitals
CHRIS WOAKES,2016,3,31,26,2,15.5,119.2,16,0,0,1,1,15.4,Delhi Capitals
CHRIS WOAKES,2017,9,52,53,5,10.4,98.1,18,0,0,4,1,41.5,Delhi Capitals
CHRIS WOAKES,2018,6,95,63,3,31.7,150.8,57,1,0,10,5,41.3,Delhi Capitals
TOM CURRAN,2015,6,90,71,6,15,126.8,41,0,0,8,4,46.5,Delhi Capitals
TOM CURRAN,2016,11,145,115,8,18.1,126.1,32,0,0,18,1,38.3,Delhi Capitals
TOM CURRAN,2017,9,119,90,4,29.8,132.2,51,1,0,6,4,27.8,Delhi Capitals
TOM CURRAN,2018,8,131,101,6,21.8,129.7,62,1,0,15,2,32.7,Delhi Capitals
TOM CURRAN,2019,21,305,206,16,19.1,148.1,44,0,0,29,9,27.2,Delhi Capitals
TOM CURRAN,2020,10,128,104,5,25.6,123.1,54,1,0,9,4,29.8,Delhi Capitals
RISHABH PANT,2016,10,198,152,8,24.8,130.3,69,1,0,19,6,36.8,Delhi Capitals
RISHABH PANT,2017,14,366,221,14,26.1,165.6,97,2,0,28,24,31.7,Delhi Capitals
RISHABH PANT,2018,14,684,394,13,52.6,173.6,128,5,1,68,37,31.2,Delhi Capitals
RISHABH PANT,2019,16,488,300,13,37.5,162.7,78,3,0,37,27,28.3,Delhi Capitals
RISHABH PANT,2020,14,342,301,11,31.1,113.6,56,1,0,32,9,36.9,Delhi Capitals
SAM BILLINGS,2013,10,186,169,9,20.7,110.1,28,0,0,19,2,36.7,Delhi Capitals
SAM BILLINGS,2014,14,210,153,12,17.5,137.3,33,0,0,17,7,29.4,Delhi Capitals
SAM BILLINGS,2015,11,228,171,9,25.3,133.3,46,0,0,19,7,29.8,Delhi Capitals
SAM BILLINGS,2016,24,408,329,22,18.5,124,55,2,0,26,11,29.8,Delhi Capitals
SAM BILLINGS,2017,29,677,482,24,28.2,140.5,78,5,0,65,20,29.7,Delhi Capitals
SAM BILLINGS,2018,23,595,413,17,35,144.1,94,5,0,51,22,31.5,Delhi Capitals
SAM BILLINGS,2019,5,74,63,4,18.5,117.5,55,1,0,2,3,31.7,Delhi Capitals
SAM BILLINGS,2020,4,92,71,4,23,129.6,50,1,0,8,2,35.2,Delhi Capitals
SAM BILLINGS,2021,9,254,176,8,31.8,144.3,83,2,0,21,9,31.2,Delhi Capitals
ROHIT SHARMA,2008,12,404,273,11,36.7,148,76,4,0,38,19,35.5,Mumbai Indians
ROHIT SHARMA,2009,18,411,360,15,27.4,114.2,52,1,0,28,18,38.9,Mumbai Indians
ROHIT SHARMA,2010,16,404,302,14,28.9,133.8,73,3,0,36,14,33.1,Mumbai Indians
ROHIT SHARMA,2011,13,372,297,11,33.8,125.3,87,3,0,32,13,34.7,Mumbai Indians
ROHIT SHARMA,2012,20,533,437,18,29.6,122,109,3,1,45,24,41.4,Mumbai Indians
ROHIT SHARMA,2013,24,711,523,18,39.5,135.9,79,5,0,47,38,33.1,Mumbai Indians
ROHIT SHARMA,2014,15,390,302,13,30,129.1,59,3,0,31,16,35.1,Mumbai Indians
ROHIT SHARMA,2015,16,482,333,14,34.4,144.7,98,3,0,41,21,30.6,Mumbai Indians
ROHIT SHARMA,2016,14,489,368,11,44.5,132.9,85,5,0,49,17,35.1,Mumbai Indians
ROHIT SHARMA,2017,16,333,273,14,23.8,122,67,3,0,31,9,35.9,Mumbai Indians
ROHIT SHARMA,2018,14,286,215,12,23.8,133,94,2,0,25,12,37.2,Mumbai Indians
ROHIT SHARMA,2019,15,405,315,14,28.9,128.6,67,2,0,52,10,40.3,Mumbai Indians
ROHIT SHARMA,2020,12,332,260,12,27.7,127.7,80,3,0,27,19,44.6,Mumbai Indians
SAURABH TIWARY,2008,2,26,20,2,13,130,17,0,0,3,1,40,Mumbai Indians
SAURABH TIWARY,2009,3,13,12,1,13,108.3,6,0,0,0,0,25,Mumbai Indians
SAURABH TIWARY,2010,18,501,367,16,31.3,136.5,61,3,0,33,23,30.5,Mumbai Indians
SAURABH TIWARY,2011,19,278,266,14,19.9,104.5,42,0,0,17,11,41.4,Mumbai Indians
SAURABH TIWARY,2012,11,191,170,8,23.9,112.4,36,0,0,9,8,35.3,Mumbai Indians
SAURABH TIWARY,2013,6,109,106,4,27.2,102.8,52,1,0,4,4,37.7,Mumbai Indians
SAURABH TIWARY,2015,6,109,78,0,NA,139.7,28,0,0,9,5,34.6,Mumbai Indians
SAURABH TIWARY,2016,7,170,141,7,24.3,120.6,57,2,0,17,4,36.9,Mumbai Indians
SAURABH TIWARY,2017,1,52,43,1,52,120.9,52,1,0,9,0,41.9,Mumbai Indians
SAURABH TIWARY,2020,5,103,80,5,20.6,128.8,42,0,0,8,3,30,Mumbai Indians
SAURABH TIWARY,2021,3,35,46,3,11.7,76.1,17,0,0,0,1,39.1,Mumbai Indians
SURYAKUMAR YADAV,2011,2,47,36,1,47,130.6,24,0,0,5,1,30.6,Mumbai Indians
SURYAKUMAR YADAV,2012,1,0,4,1,0,0,0,0,0,0,0,100,Mumbai Indians
SURYAKUMAR YADAV,2014,14,240,160,7,34.3,150,43,0,0,19,11,35,Mumbai Indians
SURYAKUMAR YADAV,2015,13,157,113,9,17.4,138.9,46,0,0,12,8,35.4,Mumbai Indians
SURYAKUMAR YADAV,2016,11,182,143,7,26,127.3,60,1,0,18,5,33.6,Mumbai Indians
SURYAKUMAR YADAV,2017,7,105,88,6,17.5,119.3,31,0,0,8,3,29.5,Mumbai Indians
SURYAKUMAR YADAV,2018,14,512,384,14,36.6,133.3,72,4,0,61,16,40.6,Mumbai Indians
SURYAKUMAR YADAV,2019,15,424,324,13,32.6,130.9,71,2,0,45,10,32.4,Mumbai Indians
SURYAKUMAR YADAV,2020,15,480,331,12,40,145,79,4,0,61,11,32.9,Mumbai Indians
SURYAKUMAR YADAV,2021,4,75,48,4,18.8,156.2,38,0,0,10,2,35.4,Mumbai Indians
CHRIS LYNN,2011,3,19,19,3,6.3,100,13,0,0,3,0,57.9,Mumbai Indians
CHRIS LYNN,2012,8,217,157,6,36.2,138.2,51,2,0,13,15,41.4,Mumbai Indians
CHRIS LYNN,2013,10,195,146,7,27.9,133.6,81,1,0,14,9,36.3,Mumbai Indians
CHRIS LYNN,2014,9,250,182,9,27.8,137.4,56,1,0,15,16,36.3,Mumbai Indians
CHRIS LYNN,2015,19,534,368,17,31.4,145.1,101,3,1,39,28,32.9,Mumbai Indians
CHRIS LYNN,2016,21,845,567,16,52.8,149,86,7,0,55,55,34.4,Mumbai Indians
CHRIS LYNN,2017,11,431,231,9,47.9,186.6,98,4,0,32,33,32.9,Mumbai Indians
CHRIS LYNN,2018,30,797,602,28,28.5,132.4,74,4,0,88,35,44.7,Mumbai Indians
CHRIS LYNN,2019,34,1133,749,31,36.5,151.3,94,11,0,87,79,41.1,Mumbai Indians
CHRIS LYNN,2020,30,789,557,27,29.2,141.7,113,3,1,78,41,43.3,Mumbai Indians
CHRIS LYNN,2021,15,403,257,15,26.9,156.8,56,4,0,42,21,40.1,Mumbai Indians
HARDIK PANDYA,2015,8,112,62,5,22.4,180.6,61,1,0,9,8,32.3,Mumbai Indians
HARDIK PANDYA,2016,9,44,63,7,6.3,69.8,9,0,0,4,0,52.4,Mumbai Indians
HARDIK PANDYA,2017,16,250,160,7,35.7,156.2,35,0,0,11,20,33.8,Mumbai Indians
HARDIK PANDYA,2018,13,260,195,9,28.9,133.3,50,1,0,20,11,32.8,Mumbai Indians
HARDIK PANDYA,2019,15,402,210,9,44.7,191.4,91,1,0,28,29,27.6,Mumbai Indians
HARDIK PANDYA,2020,13,281,157,8,35.1,179,60,1,0,14,25,31.8,Mumbai Indians
KIERON POLLARD,2009,5,146,74,4,36.5,197.3,54,1,0,8,14,35.1,Mumbai Indians
KIERON POLLARD,2010,18,400,210,15,26.7,190.5,72,1,0,27,31,31.4,Mumbai Indians
KIERON POLLARD,2011,18,269,231,16,16.8,116.5,58,1,0,23,11,42.4,Mumbai Indians
KIERON POLLARD,2012,27,652,427,19,34.3,152.7,65,4,0,44,45,37,Mumbai Indians
KIERON POLLARD,2013,35,700,506,22,31.8,138.3,66,4,0,46,45,40.1,Mumbai Indians
KIERON POLLARD,2014,30,552,404,19,29.1,136.6,78,2,0,33,33,36.1,Mumbai Indians
KIERON POLLARD,2015,25,729,477,20,36.4,152.8,82,4,0,47,45,33.3,Mumbai Indians
KIERON POLLARD,2016,24,423,297,18,23.5,142.4,51,1,0,27,26,37.7,Mumbai Indians
KIERON POLLARD,2017,51,1199,785,41,29.2,152.7,83,8,0,72,79,32.9,Mumbai Indians
KIERON POLLARD,2018,34,801,564,28,28.6,142,104,3,1,54,50,38.3,Mumbai Indians
KIERON POLLARD,2019,52,1230,784,36,34.2,156.9,83,6,0,87,84,36.1,Mumbai Indians
KIERON POLLARD,2020,19,475,241,9,52.8,197.1,72,2,0,24,42,29.5,Mumbai Indians
KRUNAL PANDYA,2016,8,237,124,6,39.5,191.1,86,1,0,22,13,28.2,Mumbai Indians
KRUNAL PANDYA,2017,11,243,179,7,34.7,135.8,47,0,0,24,7,35.2,Mumbai Indians
KRUNAL PANDYA,2018,13,228,157,10,22.8,145.2,41,0,0,22,10,35,Mumbai Indians
KRUNAL PANDYA,2019,14,183,150,11,16.6,122,42,0,0,18,5,38.7,Mumbai Indians
KRUNAL PANDYA,2020,11,109,92,6,18.2,118.5,34,0,0,9,5,41.3,Mumbai Indians
JAMES NEESHAM,2013,5,145,86,2,72.5,168.6,52,1,0,12,8,31.4,Mumbai Indians
JAMES NEESHAM,2014,11,172,170,9,19.1,101.2,35,0,0,11,5,41.2,Mumbai Indians
JAMES NEESHAM,2016,10,199,147,8,24.9,135.4,45,0,0,19,5,27.9,Mumbai Indians
JAMES NEESHAM,2017,14,221,173,10,22.1,127.7,52,2,0,13,9,31.2,Mumbai Indians
